question,option_a,option_b,option_c,option_d,correct,reference
What is fragmentation in the Ethereum ecosystem?,NFTs dominate gas,Apps can be split across many rollups,Ethereum fork,Wallet storage issue,B,[Connecting Infinity](https://www.polymerlabs.org/blog/connecting-infinity-real-time-interoperability-is-just-the-beginning)
Why is fragmentation a problem for users?,Creates higher staking rewards,Stops contracts,Forces bridging between rollups,Boosts ETH price,C,[CoinTelegraph](https://cointelegraph.com/news/ethereum-future-hinges-interoperable-layer-2s)
What is one reason fragmentation is difficult to solve?,No functional rollups exist,Rollups are too centralized,Each rollup has unique architecture,Ethereum bans it,C,[CoinShares](https://blog.coinshares.com/ethereums-major-problem-fragmentation-aa80c71be455)
Which of the following best describes the developer impact of fragmentation?,Makes apps faster,Allows global scability,Forces Devs to choose single ecosystems,Provides free and plentiful liquidity,C,[CoinTelegraph](https://cointelegraph.com/news/ethereum-future-hinges-interoperable-layer-2s)
What is a long-term risk of fragmentation if left unsolved?,Too many validators,Cultural loss,Fractured ecosystem,ETH Layer 3,C,[The Block](https://www.theblock.co/post/308920/ethereum-layer-2-proliferation-causing-liquidity-fragmentation-concerns-analyst-says)
How many L2s are estimated to be live in the Ethereum ecosystem today?,None,50,100+,10,C,[The Block](https://www.theblock.co/post/308920/ethereum-layer-2-proliferation-causing-liquidity-fragmentation-concerns-analyst-says)
"On average, how frequently does a new L2 launch?",Week,19 days,6 months,Year,B,[The Block](https://www.theblock.co/post/308920/ethereum-layer-2-proliferation-causing-liquidity-fragmentation-concerns-analyst-says)
What is the main liquidity problem caused by fragmentation?,Siloed pools prevent liquidity movement,ETH supply,All liquidity is on mainnet,There are no issues,A,[CoinShares](https://blog.coinshares.com/ethereums-major-problem-fragmentation-aa80c71be455)
What common task creates friction for fragmented users?,"Bridging, which is slow, complex and unsafe",Staking rewards are too high,NFTs take all of the value,Validators don't get paid,A,[Connecting Infinity](https://www.polymerlabs.org/blog/connecting-infinity-real-time-interoperability-is-just-the-beginning)
Why are bridges considered a weak point in fragmented ecosystems?,They are free to use,Delay & hacks are common,They eliminate the need for L1s,They are centralized rollups,B,[CoinTelegraph](https://cointelegraph.com/news/ethereum-future-hinges-interoperable-layer-2s)
What does fragmentation mean for developer deployment?,No contracts are available for devs,It's hard to go multi-chain with apps,The gas fees are too low,Auto liquidity,B,[CoinShares](https://blog.coinshares.com/ethereums-major-problem-fragmentation-aa80c71be455)
What is the main cause of fragmentation?,There are too few rollups to matter,Rollups all have unique sequencers,There is too much ETH,NFTs are taking all of the bandwidth,B,[Sygnum](https://medium.com/sygnum/can-based-rollups-solve-ethereums-layer-2-fragmentation-problem-297a7ddcd91b)
Why does user experience suffer from fragmentation?,Current wallet limits prevent liquidity flow,Manual bridging is complicated and risky,High staking fees are prohibitive,Fast block times,B,[Connecting Infinity](https://www.polymerlabs.org/blog/connecting-infinity-real-time-interoperability-is-just-the-beginning)
What is the dev cost of so many L2s?,Ethereum security is weak,Deploying on multiple chains,Scaling is too cheap,No upgrades available,B,[CoinTelegraph](https://cointelegraph.com/news/ethereum-future-hinges-interoperable-layer-2s)
What happens if fragmentation continues and is not solved?,There will be no cohesion in the ecosystem,ETH price will pump,No NFT mints,No staking,A,[CoinShares](https://blog.coinshares.com/ethereums-major-problem-fragmentation-aa80c71be455)
Why is liquidity siloed?,NFT Demand is too high,L2 networks can't talk and transfer assets,Too few rollups,Eth forks are too common,B,[The Block](https://www.theblock.co/post/308920/ethereum-layer-2-proliferation-causing-liquidity-fragmentation-concerns-analyst-says)
What is the main burden of fragmentation on devs,One chain fits all,The extra work to deploy cross-chain,No code available for interop,Central gas fees are too low,B,[CoinTelegraph](https://cointelegraph.com/news/ethereum-future-hinges-interoperable-layer-2s)
Which network level faces the most impactful interop challenges?,L1-L1,L2-L2,ETH-mainnet,All same,A,[CoinShares](https://blog.coinshares.com/ethereums-major-problem-fragmentation-aa80c71be455)
What is the biggest UX issue with rollup fragmentation / silos?,Cheap gas,Fast tx,Manual bridging,ETH staking,C,[Connecting Infinity](https://www.polymerlabs.org/blog/connecting-infinity-real-time-interoperability-is-just-the-beginning)
What role do bridges play in fragmentation?,One of the only solutions currently to unify chains,Designed to allow hacks,They lower gas fees for transactions,They prevent rollups from working,B,[CoinTelegraph](https://cointelegraph.com/news/ethereum-future-hinges-interoperable-layer-2s)
Why do devs face high cost with fragmentation?,They need to deploy on multiple chains,Insurance against bridge hacks,Wallets increase fees,Single chain servers cost more,A,[CoinShares](https://blog.coinshares.com/ethereums-major-problem-fragmentation-aa80c71be455)
How often is a new L2 network launched?,Every 19 days,1 per year,1 every 10 years,1 a day,A,[The Block](https://www.theblock.co/post/308920/ethereum-layer-2-proliferation-causing-liquidity-fragmentation-concerns-analyst-says)
What happens to liquidity in fragmented L2s?,It's unifies into a liquidity pool,It disappears ,It remains siloed and hard to access,It doubles in size,C,[CoinShares](https://blog.coinshares.com/ethereums-major-problem-fragmentation-aa80c71be455)
Why do users face high fees in fragmentation?,Bridge costs are expensive,All transactions are free,NFT mints required,You pay staking rewards,A,[Connecting Infinity](https://www.polymerlabs.org/blog/connecting-infinity-real-time-interoperability-is-just-the-beginning)
