question,option_a,option_b,option_c,option_d,correct,Reference
What is the primary purpose of blockchain interoperability?,Communication and data exchange,Speed optimization of a single blockchain,To reduce gas fees within a single network,To replace all L1 blockchains with L2 rollups,A,[Zeeve: Mapping Rollup Interoperability](https://www.zeeve.io/blog/mapping-rollup-interoperability-for-cross-chain-connectivity/)
What is the most common way blockchains communicate with each other today?,Direct state-sharing,Cross-chain messaging protocols,Zero-knowledge proofs,Native Layer 2 bridges,B,[Connecting Infinity](https://www.polymerlabs.org/blog/connecting-infinity-real-time-interoperability-is-just-the-beginning)
Which of the following is a challenge of cross-chain messaging?,High scalability,No Standardization across different chains,High security with no risks,Zero reliance on external parties,B,[Why messaging is not the future](https://www.polymerlabs.org/blog/dont-send-messages-just-prove-state)
Why is interoperability between L1 blockchains inherently more difficult than L2 interoperability?,Each L1 has different consensus rules,L1s use the same architecture,Smart contracts ensure seamless compatibility,L1s rely on centralized bridges for interop,A,[Zeeve: Mapping Rollup Interoperability](https://www.zeeve.io/blog/mapping-rollup-interoperability-for-cross-chain-connectivity/)
What happens when messages are trapped in 1-to-1 routes in cross-chain messaging?,It increases the security of the communication,They can be sent to multiple destinations,Source-destination pairs are needed,It simplifies the development process,C,[Why messaging is not the future](https://www.polymerlabs.org/blog/dont-send-messages-just-prove-state)
How do most current interoperability solutions handle blockchain communication?,By proving state validity not passing messages,By relying solely on centralized exchanges,By sending direct messages between chains,By using only L1-to-L1 trustless bridges,C,[Zeeve: Mapping Rollup Interoperability](https://www.zeeve.io/blog/mapping-rollup-interoperability-for-cross-chain-connectivity/)
Why is adding a new blockchain to a cross-chain messaging network cumbersome?,Need to update contracts/config across rollups,It happens automatically,It is prevented by the EVM,It uses a centralized registry,A,[Why messaging is not the future](https://www.polymerlabs.org/blog/dont-send-messages-just-prove-state)
Why is cross-chain messaging laborious for developers?,It is automated and requires no maintenance,It eliminates the need for custom development,It works without additional security layers,It requires frequent updates and contracts,D,[Why messaging is not the future](https://www.polymerlabs.org/blog/dont-send-messages-just-prove-state)
What is a major security risk associated with cross-chain messaging?,Messages are finalized at the source chain,All messaging is completely trustless,Messages can be intercepted and altered,Messaging does not introduce security risks,C,[Why messaging is not the future](https://www.polymerlabs.org/blog/dont-send-messages-just-prove-state)
What is one drawback of relying on cross-chain messaging for interoperability?,It introduces additional latency and overhead,It eliminates need for blockchain consensus,It allows direct state verification,It does not support Eth-compatible chains,A,[Why messaging is not the future](https://www.polymerlabs.org/blog/dont-send-messages-just-prove-state)
What makes L2 rollup interoperability different from L1 interoperability?,L2s share standards making interop easier,L2s are completely independent of each other,L2s require unique standards for each rollup,L2s do not support interop at all,A,[Zeeve: Mapping Rollup Interoperability](https://www.zeeve.io/blog/mapping-rollup-interoperability-for-cross-chain-connectivity/)
Why do L2s offer a more scalable interoperability model?,They do not require any form of validation,They operate independently without rollups,They use different consensus mechs than Eth,They follow standard architectures/settlement,D,[Zeeve: Mapping Rollup Interoperability](https://www.zeeve.io/blog/mapping-rollup-interoperability-for-cross-chain-connectivity/)
What is Polymer’s approach to L2 ↔ L2 interoperability?,Increasing the number of intermediaries,Expanding the number of bridge contracts,Using state proofs instead of messaging,Centralizing transaction validation,C,[Zeeve: Mapping Rollup Interoperability](https://www.zeeve.io/blog/mapping-rollup-interoperability-for-cross-chain-connectivity/)
How does state proving improve blockchain interoperability?,Allows data verification without intermediaries,It increases reliance on bridges,It slows down transaction finality,It eliminates smart contracts altogether,A,[Zeeve: Mapping Rollup Interoperability](https://www.zeeve.io/blog/mapping-rollup-interoperability-for-cross-chain-connectivity/)
Why is messaging often necessary for L1-to-L1 communication but not needed for L2s?,L2s rely only on proprietary APIs for interop,Inherited security makes proofs more efficient,L2s cannot prove state directly,L1s have built-in interop by default,B,[Why messaging is not the future](https://www.polymerlabs.org/blog/dont-send-messages-just-prove-state)
What problem arises when rollups communicate via a shared outbox or endpoint contract?,Improved decentralization,Faster transaction speeds,Lower finality times,Increased gas costs and trust dependencies,D,[Why messaging is not the future](https://www.polymerlabs.org/blog/dont-send-messages-just-prove-state)
How does Polymer improve rollup-to-rollup interoperability?,Making rollups rely on centralized services,Requiring rollups to use a unique standard,Enabling state proofs instead of messaging,Preventing direct communication between rollups,C,[Zeeve: Mapping Rollup Interoperability](https://www.zeeve.io/blog/mapping-rollup-interoperability-for-cross-chain-connectivity/)
Why do cross-chain bridges create security vulnerabilities?,Bridges only work for Layer 2 solutions,Eliminating the need for smart contracts,They are trustless and cannot be exploited,Holding locked assets is a target for exploits,D,[Zeeve: Mapping Rollup Interoperability](https://www.zeeve.io/blog/mapping-rollup-interoperability-for-cross-chain-connectivity/)
What is a key drawback of message-based interoperability compared to state proofs?,They need more overhead and upkeep,They eliminate latency issues,They improve security in all cases,They are final and do not require validation,A,[Why messaging is not the future](https://www.polymerlabs.org/blog/dont-send-messages-just-prove-state)
